firma1,beziehung,firma2
Landkreis Vorpommern-Rügen Eigenbetrieb Abfallwirtschaft Deponie Camitz,hat den Betreiber,Landkreis Vorpommern-Rügen Eigenbetrieb Abfallwirtschaft
OPAL NEL TRANSPORT GmbH,hat den Betreiber,GASCADE Gastransport GmbH
P+S Werften GmbH Standort Stralsund,hat den Betreiber,P+S Werften GmbH
P+S Werften GmbH Standort Wolgast,hat den Betreiber,P+S Werften GmbH
Schweinemast E. Schulze Roberg Schweinemastanlage Engelswacht,hat die Muttergesellschaft,Schweinemast E. Schulze Roberg
Suiker Unie GmbH Zuckerfabrik Anklam,hat den Betreiber,Suiker Unie GmbH & Co.KG
VION Anklam GmbH,hat die Muttergesellschaft,VION GmbH
[K]nord GmbH CPB-Anlage,hat die Muttergesellschaft,Kompostsysteme Nord GmbH
A. Obenauf GmbH & Co. KG Pappenfabrik,hat die Muttergesellschaft,A. Obenauf GmbH & Co. KG
A. Obenauf GmbH & Co. KG Pappenfabrik,hat den Betreiber,"A, Obenauf GmbH & Co. KG"
Abfallwirtschaft Heidekreis Deponie Hillern,hat die Muttergesellschaft,Abfallwirtschaft Heidekreis Abfallwirtschaft Heidekreis
Abfallwirtschaft Heidekreis Deponie Hillern,hat den Betreiber,Abfallwirtschaft Heidekreis
Abfallwirtschaft Heidekreis Müllumschlaganlage,hat die Muttergesellschaft,Abfallwirtschaft Heidekreis Abfallwirtschaft Heidekreis
Abfallwirtschaft Heidekreis Müllumschlaganlage,hat den Betreiber,Abfallwirtschaft Heidekreis
Abfallwirtschaftsbetrieb Landkreis Grafschaft Bentheim,hat den Betreiber,Abfallwirtschaftsbetrieb
AbfallWirtschaftsGesellschaft mbH (AWG),hat den Betreiber,AbfallWirtschaftsGesellschaft mbH
Abwasserentsorgung Stade Kläranlage,hat die Muttergesellschaft,Abwasserentsorgung Stade
Abwasserentsorgung Stade Kläranlage,hat den Betreiber,Kläranlage Stade
ADDITIV CHEMIE LUERS GmbH,hat die Muttergesellschaft,Additiv Chemie Luers GmbH
ADDITIV CHEMIE LUERS GmbH,hat den Betreiber,Johann von Cossel
ADM Hamburg AG Werk Leer,hat die Muttergesellschaft,ADM Hamburg AG
ADM Hamburg AG Werk Leer,hat den Betreiber,ADM Hamburg Aktiengesellschaft Werk Leer
Agrarfrost GmbH & Co. KG,hat den Betreiber,Ulrich Obdenbusch
agrinova GmbH & Co.KG,hat den Betreiber,Glüxxswin GbR
aha Zweckverband Abfallwirtschaft Region Hannover,hat die Muttergesellschaft,Zweckverband Abfallwirtschaft Region Hannover
aha Zweckverband Abfallwirtschaft Region Hannover,hat den Betreiber,aha ZV Abfallwirtschaft Region Hannover
Albers GbR Dirk und Maria Albers,hat den Betreiber,"Albers GbR, Dirk und Maria Albers"
ALFRA GmbH,hat den Betreiber,Alfra Landwirtschaftlich Produktions GmbH
Allfein Feinkost GmbH & Co. KG,hat den Betreiber,Bernhard Ströer
Aluminium Oxid Stade GmbH,hat den Betreiber,Geschäftsführer
Amazonen-Werke H. Dreyer GmbH & Co. KG,hat den Betreiber,Amazonen-Werke
Anheuser-Busch InBev Deutschland GmbH & Co. KG,hat die Muttergesellschaft,InBev Deutschland Gilde Brauerei AG
Anheuser-Busch InBev Deutschland GmbH & Co. KG,hat den Betreiber,Gilde Brauerei AG
Ardagh Glass GmbH,hat den Betreiber,Ardaghgroup
Ardagh Glass GmbH Werk Obernkirchen,hat die Muttergesellschaft,Ardagh Glass GmbH
Ardagh Glass GmbH Werk Obernkirchen,hat den Betreiber,Ardaghgroup
Ardagh Glass GmbH,hat den Betreiber,Ardaghgroup
Ardagh Metal Packaging Germany GmbH Werk Cuxhaven,hat den Betreiber,Ardagh Metal Packaging Germany GmbH
ARGE - Südniedersächsische Aufbereitung und Verwertung AG & Co,hat den Betreiber,ARGE SAV
Austing gr. Franz,hat den Betreiber,"Austing gr., Franz"
"Austing, gr. Werner",hat den Betreiber,"Austing, gr., Werner"
"Austing, gr. Josef",hat den Betreiber,"Austing,Josef gr."
Autohandel Tanke GmbH Fahrzeughandel und -demontage,hat die Muttergesellschaft,Tanke Autohandel GmbH
Autohandel Tanke GmbH Fahrzeughandel und -demontage,hat den Betreiber,Autohandel Tanke GmbH
AWB Stadt Oldenburg MA - Neuenwege,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb Stadt Oldenburg
AWB Stadt Oldenburg MA - Neuenwege,hat den Betreiber,Stadt Oldenburg
AWS Abfallwirtschaftsgesellschaft Landkreis Schaumburg mbH,hat den Betreiber,Abfallwirtschaftsgesellschaft
Baerlocher  GmbH,hat die Muttergesellschaft,Baerlocher GmbH z. Hd. Herrn Bähr
Baerlocher  GmbH,hat den Betreiber,"Baerlocher GmbH, Freisinger Str. 1, 85716 Unterschleissheim"
Barnstorfer Geflügelschlachterei Dietrich Menge GmbH,hat den Betreiber,Barnstorfer Geflügelschlachterei
BASF Catalysts Germany GmbH Adsorbentien,hat den Betreiber,Dr. Peter Polanek
BASF Polyurethanes GmbH,hat den Betreiber,Uwe Hartwig
Bayer MaterialScience Oldenburg GmbH & Co. KG,hat die Muttergesellschaft,"Bayer MaterialScience AG, Leverkusen"
Bayer MaterialScience Oldenburg GmbH & Co. KG,hat den Betreiber,BayerMaterialScience Oldenburg GmbH & Co. KG
Bayer Pharma AG Deponie Klein Biewende,hat die Muttergesellschaft,Bayer  Pharma AG Herr Reichl
Bayer Pharma AG Deponie Klein Biewende,hat den Betreiber,Bayer Pharma AG
"Beckmann GbR, Hubertus Beckmann, Dirk",hat den Betreiber,"Beckmann GbR, Dirk + Hubertus"
Behrens & Behrens Entsorgung GmbH Betriebshof,hat die Muttergesellschaft,Behrens & Behrens Entsorgung GmbH
Bergmann Automotive GmbH,hat den Betreiber,Bergmann
Bernhard Hüntelmann Maschinen- und Stahlbau GmbH,hat die Muttergesellschaft,Hüntelmann Oberflächentechnik GmbH & Co. KG
Bernhard Hüntelmann Maschinen- und Stahlbau GmbH,hat den Betreiber,Hüntelmann Oberflächentechnik
"Berning, Monika",hat den Betreiber,Monika Berning
"Berssenbrügge, Matthias",hat den Betreiber,"Berssenbrügge, Matthias und Simon"
Beucke u. Söhne GmbH u. Co. KG Druck u. Verpackung,hat den Betreiber,Lutz Beucke
Biermann Städtereinigung GmbH&Co. KG *EFB*,hat die Muttergesellschaft,Biermann Städtereinigung GmbH&Co. KG
Biermann Städtereinigung GmbH&Co. KG *EFB*,hat den Betreiber,BIERMANN Städtereinigung GmbH & Co. KG
Biomasseheizkraftwerk Landesbergen GmbH,hat den Betreiber,Statkraft Markets GmbH
Biomasseheizkraftwerk Emden GmbH,hat die Muttergesellschaft,Statkraft Markets GmbH
BJB Evers Bernhard u. Jan-Bernd Evers,hat den Betreiber,"BJB Evers, Bernhard u. Jan-Bernd Evers"
Bodenkamp Katja,hat den Betreiber,"Bodenkamp, Katja"
"Bommel, von Martinus",hat den Betreiber,"Bommel, Martinus von"
BP Europa SE Erdöl-Raffinerie Emsland,hat den Betreiber,BP Europa SE; Erdöl-Raffinerie Emsland
Brand Qualitätsfleisch GmbH & Co.,hat den Betreiber,Brand Paul
Brauerei Braunschweig Zweigniederlassung der Oettinger Brauerei GmbH,hat die Muttergesellschaft,Oettinger Brauerei GmbH Zweigniederlassung der Oettinger Brauerei GmbH
Brauerei Braunschweig Zweigniederlassung der Oettinger Brauerei GmbH,hat den Betreiber,Brauerei Braunschweig
"Braunschweiger Versorgungs AG, Heizkraftwerk Mitte",hat die Muttergesellschaft,Braunschweiger Versorgungs-AG & Co. KG
"Braunschweiger Versorgungs AG, Heizkraftwerk Mitte",hat den Betreiber,Braunschweiger Versorgungs AG & Co.KG
Broiler Geflügelerzeuger GmbH Schöninghsdorf & Co. KG Bernhard Gödde,hat den Betreiber,Broiler Geflügelerzeuger GmbH Schöninghsdorf & Co. KG
Broiler-Mast Strätker GmbH & Co. KG,hat den Betreiber,Georg Strätker
Brüggen Oberflächen - und Systemlieferant GmbH,hat die Muttergesellschaft,Brüggen Oberflächen - und Systemlieferant
Brüggen Oberflächen - und Systemlieferant GmbH,hat den Betreiber,Brüggen Oberflächen- und Systemlieferant GmbH
Buss Fertiggerichte GmbH,hat den Betreiber,Heristo-Gruppe
BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Martfeld,hat die Muttergesellschaft,BWE-Brüterei Weser-Ems GmbH & Co. KG
BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Rehden,hat die Muttergesellschaft,BWE-Brüterei Weser-Ems GmbH & Co. KG
BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Eschenhausen,hat die Muttergesellschaft,BWE-Brüterei Weser-Ems GmbH & Co. KG
Cargill GmbH Ölmühle,hat den Betreiber,Cargill GmbH
Carsten Hillmann Köster,hat den Betreiber,Sunder Agro und Cerdomast
Cassens Werft GmbH,hat den Betreiber,Cassens Werft GmbH / Nautilus
Celler Land Frischgeflügel GmbH&Co. KG,hat den Betreiber,Franz-Josef Rothkötter
CHT R. Beitlich GmbH Werk Oyten,hat den Betreiber,CHT R. Beitlich GmbH
Continental Teves AG & Co. oHG Werk Gifhorn,hat den Betreiber,Continental Teves AG & Co. oHG
ContiTech Elastomer- Beschichtungen GmbH,hat die Muttergesellschaft,ContiTech Elastomer-Beschichtungen GmbH
Cuxhavener Schiffsentsorgungs GmbH,hat den Betreiber,Cuxhavener Schiffs-Entsorgungs-GmbH
DA Schiffsverwertung GmbH & Co. KG,hat den Betreiber,Rolf Augustin
Danish Crown Fleisch GmbH danish Crown Fleisch GmbH,hat die Muttergesellschaft,Danish Crown GmbH
Danish Crown Fleisch GmbH danish Crown Fleisch GmbH,hat den Betreiber,Danish Crown Fleisch GmbH
DeGeFa GmbH GmbH & Co. KG,hat die Muttergesellschaft,DeGeFa GmbH c/o Herrn Paul Fasthoff -Kühle
DeGeFa GmbH GmbH & Co. KG,hat den Betreiber,DeGeFa GmbH & Co. KG
Deponie Bornum Abfallwirtschaftsbetrieb Landkreis,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb Landkreis Wolfenbüttel
Deponie Bornum Abfallwirtschaftsbetrieb Landkreis,hat den Betreiber,Landkreis Wolfenbüttel
Deponie Stedum Landkreis Peine,hat die Muttergesellschaft,Abfallwirtschafts- und Beschäfti- gungsbetriebe Landkreis Peine AöR
Deponie Stedum Landkreis Peine,hat den Betreiber,A+B Landkreis Peine
Deponie Watenbüttel Stadt Braunschweig,hat die Muttergesellschaft,"Stadt Braunschweig, Stadtentwässerung und"
Deponie Watenbüttel Stadt Braunschweig,hat den Betreiber,Stadtentwässerung Braunschweig GmbH
Deponie Wesendorf Landkreis Gifhorn,hat die Muttergesellschaft,Landkreis Gifhorn
Deponie Wesendorf Landkreis Gifhorn,hat den Betreiber,Remondis
Deppe Batterieservice GmbH & Co.KG,hat den Betreiber,Deppe Batterieservice GmbH & Co. KG
DEUTAG GmbH & Co. KG Niederlassung Nord,hat den Betreiber,DEUTAG GmbH & Co. KG NL Nord
DEUTAG GmbH & Co. KG HGT-Anlage Hambostel,hat die Muttergesellschaft,DEUTAG GmbH & Co. KG Niederlassung Nord
DEUTAG GmbH & Co. KG HGT-Anlage Hambostel,hat den Betreiber,DEUTAG GmbH & Co. KG NL Nord
Deutsche Frühstücksei Anlagenverwaltung GmbH & Co. KG,hat den Betreiber,Deutsche Frühstücksei Betriebsgesellschaft mbH & Co. KG
DIECKMANN BAUEN + UMWELT GmbH & Co. KG,hat den Betreiber,Dieckmann
DKC GmbH & Co. KG Matthias Klinker,hat den Betreiber,DKC GmbH & Co. KG
DMK Deutsches Milchkontor GmbH,hat die Muttergesellschaft,DMK Deutsches Milchkontor GmbH Werk Zeven
DMK Deutsches Milchkontor GmbH Standort Holdorf,hat die Muttergesellschaft,DMK Deutsches Milchkontor GmbH
DMK Deutsches Milchkontor GmbH Standort Edewecht,hat die Muttergesellschaft,DMK Deutsches Milchkontor GmbH
DMK Deutsches Milchkontor GmbH Standort Edewecht,hat den Betreiber,Torsten Lucht
DMK Deutsches Milchkontor GmbH,hat den Betreiber,Gerhard Baalmann
DMK Deutsches Milchkontor GmbH Standort Georgsmarienhütte,hat den Betreiber,DMK Deutsches Milchkontor GmbH
DOW Deutschland Anlagengesellschaft Werk Stade mbH,hat den Betreiber,Dow Deutschland Anlagengesellschaft mbH
Dr. Paul Lohmann GmbH KG Chemische Fabrik,hat den Betreiber,Dr. Paul Lohmann GmbH KG
Dralon GmbH Werk Lingen,hat den Betreiber,"Dieter Heinkes, Stefan Braun"
Drewsen Spezialpapiere GmbH&Co. KG Papierfabrik,hat den Betreiber,Drewsen Spezialpapiere GmbH&Co. KG
DTF Deutsche Textilfabrik GmbH & Co. KG,hat die Muttergesellschaft,Bothorn GmbH
DTF Deutsche Textilfabrik GmbH & Co. KG,hat den Betreiber,DTF Deutsche Textilfabrik GmbH & Co KG
Dzierzon Edelstahlbeizerei GmbH,hat die Muttergesellschaft,Dzierzon Edelstahl-Beizerei GmbH & Co.KG
Dzierzon Edelstahlbeizerei GmbH,hat den Betreiber,Dzierzon
Düringer Fleischkontor Engelbert Stukenborg GmbH & Co. KG,hat den Betreiber,Düringer Fleischkontor E. Stukenborg GmbH & Co. KG
E.ON  Mitte Wärme Heizkraftwerk Göttingen,hat die Muttergesellschaft,e.on Wärmeversorgung Göttingen GmbH
E.ON  Mitte Wärme Heizkraftwerk Göttingen,hat den Betreiber,Eon Mitte Wärme GmbH
E.ON Energy from Waste Hannover GmbH,hat die Muttergesellschaft,EON Energy from Waste Hannover GmbH
E.ON Energy from Waste (EEW) Helmstedt GmbH,hat die Muttergesellschaft,E.ON Energy from Waste Helmstedt GmbH
E.ON Energy from Waste (EEW) Helmstedt GmbH,hat den Betreiber,E.ON Energy from Waste
E.ON Kraftwerke GmbH Kraftwerk Buschhaus,hat die Muttergesellschaft,E.ON Kraftwerke GmbH
E.ON Kraftwerke GmbH,hat den Betreiber,EON Kraftwerke GmbH
e4 Umwelt- und Servicegesellschaft mbH,hat den Betreiber,e4 Umwelt- und Service GmbH
EEV BioEnergie GmbH & Co KG,hat die Muttergesellschaft,EEV BioEnergie GmbH & Co. KG
EEV BioEnergie GmbH & Co KG,hat den Betreiber,EEV BioEnergie GmbH & Co.KG
EGO Schlachthof Georgsmarienhütte GmbH & Co. KG,hat den Betreiber,EGO Schlachthof GM-Hütte
Einhäupl-Mühlau GmbH & Co. KG Betriebsstätte Herzlake,hat die Muttergesellschaft,Einhäupl-Mühlau GmbH & Co. KG
Eipro-Vermarktung GmbH & Co. KG,hat den Betreiber,"Wolfgang Stromann, Walter Peuker"
Eisengießerei O. Gattermann GmbH & Co. KG,hat die Muttergesellschaft,Eisengießerei O. Gattermann GmbH + Co. KG
Eisengießerei O. Gattermann GmbH & Co. KG,hat den Betreiber,O. Gattermann GmbH & Co. KG
Elking Paul,hat den Betreiber,Paul Elking
ELPRO Elektronik-Produkt Recycling,hat den Betreiber,ELPRO Elektronik-Produkt Recycling GmbH
Emery Oleochemicals GmbH,hat den Betreiber,Ermery Oleochemicals GmbH
EMPG - EAA Großenkneten Erdgas-Aufbereitungsanlage,hat die Muttergesellschaft,ExxonMobil Production Deutschland GmbH
EMPG - NEAG Norddeutsche Erdgasaufbereitungs-GmbH,hat die Muttergesellschaft,ExxonMobil Production Deutschland GmbH
EMPG - UGS Dötlingen Untergrundspeicher,hat die Muttergesellschaft,ExxonMobil Production Deutschland GmbH
Emsland Frischgeflügel GmbH,hat den Betreiber,Franz-Josef Rothkötter
Emsland-Stärke GmbH,hat den Betreiber,Emsland Stärke GmbH
Emsland-Stärke GmbH KSW Werk Wietzendorf,hat die Muttergesellschaft,Emsland-Stärke GmbH Werk Wietzendorf
Emsland-Stärke GmbH KSW Werk Wietzendorf,hat den Betreiber,Emsland-Stärke GmbH
Entwässerungsgesellschaft Cuxhaven mbH Kläranlage Cuxhaven,hat die Muttergesellschaft,Entweässerungsgesellschaft Cuxhaven mbH Kläranlage Cuxhaven
Entwässerungsgesellschaft Cuxhaven mbH Kläranlage Cuxhaven,hat den Betreiber,EWE WASSER GmbH
Etzel Gas-Lager Erdgasspeichernanlage,hat die Muttergesellschaft,Statoil Deutschland GmbH
Etzel Gas-Lager Erdgasspeichernanlage,hat den Betreiber,Statoil Deutschland Storage GmbH
EWE Aktiengesellschaft Abwasserreinigungsanlage und BHKW,hat die Muttergesellschaft,EWE Aktiengesellschaft Hauptverwaltung
EWE Aktiengesellschaft Abwasserreinigungsanlage und BHKW,hat den Betreiber,EWE WASSER GmbH
Exide Technologies GmbH,hat den Betreiber,Michael Ostermann (gem. § 52a BImSchG)
EZS Entsorgungszentrum Salzgitter GmbH,hat die Muttergesellschaft,E.ON Energy from Waste AG GP Günter Papenburg Entsorgung GmbH
EZS Entsorgungszentrum Salzgitter GmbH,hat den Betreiber,Entsorgungszentrum Salzgitter GmbH
Fahrzeugwerk Bernard Krone GmbH,hat den Betreiber,Bernard Krone
Faurecia Exteriors GmbH,hat den Betreiber,Detlef Heiland
FELS-WERKE GmbH Kalkwerk Münchehof,hat die Muttergesellschaft,FELS-WERKE GmbH
FELS-WERKE GmbH Kalkwerk Münchehof,hat den Betreiber,Fels-Werke GmbH
Firma Lenz KG,hat den Betreiber,Lenz
Fleischzentrum Wilhelmshaven Grundstücksgesellschaft mbH i. G.,hat den Betreiber,Jade Schlachthof Wilhelmshaven
Flexsys Verkauf GmbH,hat die Muttergesellschaft,Flexsys Verwaltungs und Beteiligungs mbH
Fortmann Antonius,hat den Betreiber,Fortmann
Fr. Lürssen Werft GmbH & Co. KG,hat die Muttergesellschaft,Fr. Lürssen-Werft GmbH & Co. KG
Fr. Lürssen Werft GmbH & Co. KG,hat den Betreiber,SSB Berne GmbH & Co. KG
Frank Ehlers,hat den Betreiber,Ehlers Frank
Franz Illmer GmbH,hat den Betreiber,Illmer GmbH
Fuhse Transport GmbH Altölzwischenlager Bassum,hat die Muttergesellschaft,Fuhse Transport GmbH
Fuhse Transport GmbH Altölzwischenlager Bassum,hat den Betreiber,Fuhse Transport-GmbH
Fuhse Transport GmbH Altölzwischenlager,hat die Muttergesellschaft,Fuhse Transport GmbH GF: Herr Balfanz
Fuhse Transport GmbH Altölzwischenlager,hat den Betreiber,Fuhse Transport-GmbH
Galvano-Technik Kessel GmbH & Co. KG,hat den Betreiber,Galvanotechnik Kessel GmbH&Co.KG
GalvanoTec Vechelde GmbH & Co.KG,hat den Betreiber,GalvanoTec Vechelde GmbH&Co.KG
Galvanotechnik Eggers GmbH,hat die Muttergesellschaft,Galvanotechnik Eggers GmbG
gassco - Erdgasempfangsanlage ERF-Dornum,hat die Muttergesellschaft,GASSCO AS Zweigniederlassung Deutschland
gassco - Erdgasempfangsanlage ERF-Dornum,hat den Betreiber,Gassco AS Zweigniederlassung Deutschland
GASSCO AS Zweigniederlassung Deutschland,hat den Betreiber,Gassco AS Zweigniederlassung Deutschland
GDTS - VDS Rysum,hat die Muttergesellschaft,Gasunie Transport Services GmbH GDTS
GDTS - VDS Rysum,hat den Betreiber,Gasunie Deutschland Transport Services GmbH
Gebr. Gausepohl GmbH & Co. KG,hat den Betreiber,Gebr. Gausepohl GmbH & Co.KG
Geflügelschlachterei Steinfeld GmbH & Co. KG,hat den Betreiber,Geflügelschlachterei Steinfeld KG
GEKA mbH Gesellschaft zur Entsorgung von chemischen Kampfstoffen und Rüstungsaltlasten,hat die Muttergesellschaft,GEKA mbH
Gemeinschaftskraftwerk Hannover-Lin den GmbH,hat den Betreiber,Stadtwerke Hannover AG
GePO GmbH & Co. KG,hat den Betreiber,GePo GmbH & Co KG
"Gerling, Wolfgang",hat die Muttergesellschaft,Wolfgang Gerling
Germann Bernd,hat den Betreiber,Bernd Germann
Germann Zuchtbetriebe KG,hat den Betreiber,Bernd Germann
Germer Paul,hat den Betreiber,Dieter Germer
Gesellschaft für Abfall- Aufbereitung Barenburg mbH,hat die Muttergesellschaft,G.A.A. - Gesellschaft für Abfall- Aufbereitung Barenburg mbH
Gesellschaft für Abfall- Aufbereitung Barenburg mbH,hat den Betreiber,G.A.A. Barenburg mbH
GF Grafschafter Frischei GmbH & CO.KG,hat den Betreiber,GF Grafschafter Frischei
GfA Lüneburg - gkAöR,hat den Betreiber,Gesellschaft für Abfallwirtschaft Lüneburg mbH
GKH Gemeinschaftskraftwerk Hannover,hat den Betreiber,Stadtwerke Hannover AG
"Grevenkamp GbR Grevenkamp, Heinrich",hat den Betreiber,Grevenkamp GbR
Grimme Landmaschinen GmbH & Co. KG,hat den Betreiber,Franz Grimme Landmaschinen GmbH & Co. KG
Guss-Zentrum-Ostfriesland GmbH,hat den Betreiber,Guß-Zentrum-Ostfriesland
Gustav Eymers GmbH Sonderabfallzwischenlager,hat die Muttergesellschaft,Illmer Umweltschutz GmbH
Gustav Eymers GmbH Sonderabfallzwischenlager,hat den Betreiber,Gustav Eymers GmbH
Günter Behnke Autoverwertung & Autorecycling GmbH,hat den Betreiber,Autoverwertung & Autorecycling GmbH
H. Butting GmbH & Co. KG,hat den Betreiber,H.Butting GmbH & Co. KG
H. Kemper GmbH & Co.KG Fleischwarenfabrik,hat den Betreiber,H. Kemper GmbH & Co. KG
H.C. Starck GmbH,hat die Muttergesellschaft,H. C. Starck GmbH
H.C. Starck GmbH,hat den Betreiber,H.C.Starck GmbH
HAGEDORN-NC GmbH,hat den Betreiber,Hagedorn-NC GmbH
Hans Peter Wätje,hat den Betreiber,Hans-Peter Wätje
"Harren, Johannes Harren, Johannes",hat den Betreiber,"Harren, Johannes"
Hartgering Wielfried,hat den Betreiber,Hartgering
Harz-Metall GmbH,hat die Muttergesellschaft,Recylex  GmbH
Harz-Metall GmbH,hat den Betreiber,Harz- Metall GmbH
HeidelbergCement AG Zementwerk Hannover,hat die Muttergesellschaft,HeidelbergCement AG
Heidemark Mästerkreis GmbH & Co. KG Betriebsstätte Ahlhorn,hat den Betreiber,Heidemark Mästerkreis GmbH & Co. KG
Heinrich Rolfes Transportbeton & Erdarbeiten GmbH & Co. KG,hat den Betreiber,Heinrich Rolfes Transportbeton
Heinrich Stuntebeck,hat den Betreiber,PSO Mast GmbH & Co. KG
Heinrich Thiermann,hat den Betreiber,Thiermann Gartenbaubetriebe GmbH & Co KG
Heinz Tersteeg GmbH & Co. KG. Altölzwischenlager,hat die Muttergesellschaft,Heinz Tersteeg GmbH & Co.KG. Altölabholung+Ölwehr Sonderabfall-/Reststoff-Entsorgung und Recycling
Heinz Tersteeg GmbH & Co. KG. Altölzwischenlager,hat den Betreiber,"Heinz Tersteeg GmbH & Co. KG, Am Wasserturm 33, 48653 Coesfeld"
Helector Recyclingcenter Osnabrück GmbH,hat den Betreiber,Herhof Recyclingcenter Osnabrück GmbH
Heller-Leder GmbH & Co. KG,hat den Betreiber,HELLER-LEDER GmbH & Co. KG
Henkel AG & Co. KGaA,hat die Muttergesellschaft,Henkel  AG &  Co. KG aA.
Henkel AG & Co. KGaA,hat den Betreiber,"Henkel AG & Co. KGaA, Standort Hannover"
Hermann Brockmann Recycling GmbH,hat den Betreiber,Hermann Brockmann Recycling Gmbh
Holcim (Deutschland) AG Werk Höver,hat den Betreiber,Holcim (Deutschland) AG
Honeywell Specialty Chemicals Seelze GmbH,hat den Betreiber,Honeywell Specialty Chemikals Seelze GmbH
Huntsman (Germany) GmbH Osnabrück Betriebsstätte,hat die Muttergesellschaft,Huntsman GmbH Osnabrück Betriebsstätte
Huntsman (Germany) GmbH Osnabrück Betriebsstätte,hat den Betreiber,Huntsman (Germany) GmbH
HWT Hansen Wärme-& Tanktechnik GmbH&Co. KG,hat den Betreiber,Heinz-Jürgen Hansen
Hydro Aluminium Gießerei Hannover GmbH,hat den Betreiber,Hydro Aluminium Deutschland GmbH
Hydro Aluminium Extrusion Deutschland GmbH,hat den Betreiber,Hydro Aluminium Extrusion
"Ideler, Christian",hat den Betreiber,Karzfehn Märkische Puten GmbH
INEOS Chlor Atlantik GmbH Betriebsstätte Rüstersiel (CAE),hat die Muttergesellschaft,INEOS Chlor Atlantik GmbH
INEOS Chlor Atlantik GmbH Betriebsstätte Rüstersiel (CAE),hat den Betreiber,INEOS
INEOS Vinyls Deutschland GmbH,hat den Betreiber,INEOS
INTERSEROH Holzkontor Bückeburg eine Nl. der INTERSEROH Holzkontor,hat die Muttergesellschaft,INTERSEROH Holzkontor Bückeburg eine Niederlassung der INTERSEROH
INTERSEROH Holzkontor Bückeburg eine Nl. der INTERSEROH Holzkontor,hat den Betreiber,INTERSEROH Holzkontor Bückeburg
JL Goslar GmbH,hat die Muttergesellschaft,Endurance Capital AG
Johnson Controls Autobatterie GmbH & Co. KGaA,hat den Betreiber,VB Autobatterie GmbH & Co. KGaA
Jungfer Druckerei und Verlag GmbH,hat die Muttergesellschaft,Jungfer Druckerei- u. Verlag GmbH
Jungmastgeflügelerzeuger GmbH & Co.KG Farm Wetschen,hat die Muttergesellschaft,Jungmastgeflügelerzeuger GmbH & Co.KG
K+S - Werk Sigmundshall,hat die Muttergesellschaft,K+S KALI GmbH
KAMAX GmbH & Co. KG,hat die Muttergesellschaft,KAMAX GmbH & Co.KG.
"Kenkel GbR, Franz-Josef und Markus",hat die Muttergesellschaft,"Kenkel GbR, Franz-Josef und Markus Kenkel, Franz-Josef"
Kesseböhmer Beschlagsysteme GmbH + Co.KG,hat die Muttergesellschaft,Kesseböhmer Beschlagsysteme GmbH + CO.KG.
Kesseböhmer Beschlagsysteme GmbH + Co.KG,hat den Betreiber,Kesseböhmer Beschlagsysteme GmbH & Co. KG
KG Rießel Ei GmbH & Co KG,hat den Betreiber,KG Rießel Ei GmbH & Co.
KG Rießel Ei GmbH & Co KG,hat den Betreiber,KG Rießel Ei GmbH & Co.
KG Rießel Ei Langförden GmbH & Co KG,hat die Muttergesellschaft,KG Rießel Ei GmbH & Co KG
KG Rießel Ei Langförden GmbH & Co KG,hat den Betreiber,KG Rießel Ei GmbH & Co.
Kläranlage Celle,hat die Muttergesellschaft,Stadt Celle Klärwerk und Kanalbetrieb
Kläranlage Celle,hat den Betreiber,Stadt Celle
Kläranlage Göttingen Göttinger Entsorgungsbetriebe,hat die Muttergesellschaft,Göttinger Entsorgungsbetriebe Stadtentwässerung
Kläranlage Gümmerwald - Stadtentwässerung Hannover -,hat die Muttergesellschaft,Stadtentwässerung Hannover
Kläranlage Hameln,hat die Muttergesellschaft,Stadt Hameln Kläranlage
Kläranlage Hameln,hat den Betreiber,Stadt Hameln
Kläranlage Herrenhausen,hat die Muttergesellschaft,Stadtentwässerung Hannover
Kläranlage Hildesheim - Blockheizkraftwerk -,hat die Muttergesellschaft,Stadtentwässerung Hildesheim AöR
Kläranlage Hildesheim - Blockheizkraftwerk -,hat den Betreiber,Stadtentwässerung Hildesheim AÖR
Kläranlage Langenhagen,hat die Muttergesellschaft,Stadt Langenhagen Eigenbetrieb Stadtentwässerung
Kläranlage Langenhagen,hat den Betreiber,k. A.
Kläranlage Nienburg,hat die Muttergesellschaft,Stadt Nienburg/Weser -Kläranlage Nienburg-
Kläranlage Nienburg,hat den Betreiber,Stadt Nienburg/Weser
Kläranlage Verden mit BHKW,hat die Muttergesellschaft,Stadt Verden Eigenbetrieb Abwasserbeseitigung
Kläranlage Verden mit BHKW,hat den Betreiber,Stadt Verden
KME Germany GmbH & Co. KG,hat den Betreiber,KME Germany AG & Co. KG
Kommunale Betriebe Nordhorn KBN AöR Kläranlage Nordhorn,hat die Muttergesellschaft,Kommunale Betriebe Nordhorn KBN AöR
Kommunale Betriebe Nordhorn KBN AöR Kläranlage Nordhorn,hat den Betreiber,KBN
Kraft Foods Deutschland Production GmbH&Co. KG,hat die Muttergesellschaft,Kraft Foods Deutschland Production GmbH&Co. KG Werk Fallingbostel
