firma1,beziehung,firma2
Mumsdorf,hat den Betreiber,MIBRAG Industriekraftwerke Betriebs GmbH
Deuben,hat die Muttergesellschaft,MIBRAG mbH
Deuben,hat den Betreiber,MIBRAG Industriekraftwerke Betriebs GmbH
Wählitz,hat die Muttergesellschaft,MIBRAG mbH
Wählitz,hat den Betreiber,MIBRAG Industriekraftwerke Betriebs GmbH
K + S KALI Zielitz,hat die Muttergesellschaft,K + S KALI GmbH
FELS-WERKE Kalkwerk Rübeland,hat die Muttergesellschaft,FELS-WERKE GmbH
FELS-WERKE Kalkwerk Kaltes Tal,hat die Muttergesellschaft,FELS-WERKE GmbH
FELS-WERKE Kalkwerk Hornberg,hat die Muttergesellschaft,FELS-WERKE GmbH
Zentralstation Steinitz,hat die Muttergesellschaft,Gaz de France Produktion Exploration Deutschland GmbH
Zentralstation Steinitz,hat den Betreiber,Gaz de France-PEG
Staub- und Brikettfabrik Deuben,hat die Muttergesellschaft,Mitteldeutsche Braunkohlengesellschaft mbH
VNG-Verbundnetz Gas Aktiengesellschaft UGS Bernburg Peißen,hat den Betreiber,VNG-Verbundnetz Gas Aktiengesellschaft
Kiestagebau Naumburg/Eulau,hat die Muttergesellschaft,Mitteldeutsche Hartstein-Kies- und MIschwerke GmbH
Tagebau Profen,hat die Muttergesellschaft,Mitteldeutsche Braunkohlengesellschaft mbH
Tagebau Profen,hat den Betreiber,MIBRAG mbH
Kiessandtagebau Prießnitz,hat die Muttergesellschaft,Mitteldeutsche Hartstein-Kies- und MIschwerke GmbH
"SCHWENK Zement KG, Werk Bernburg",hat die Muttergesellschaft,SCHWENK Zement KG
"Dow Olefinverbund GmbH, Sol- und Speicherfeld",hat die Muttergesellschaft,Dow Europe Holding B.V.
Solegewinnung und -aufbereitung,hat die Muttergesellschaft,Stadt Bad Dürrenberg
AUREC Herstellung von Versatzstoffen,hat die Muttergesellschaft,REMEX Mineralstoff GmbH
AUREC Herstellung von Versatzstoffen,hat den Betreiber,AUREC GmbH
Drahtwerk St. Ingbert GmbH,hat die Muttergesellschaft,Saarstahl AG
Nemak Dillingen GmbH,hat den Betreiber,Nemak
"Saarstahl AG, Werk Völklingen",hat die Muttergesellschaft,Saarstahl AG
Acument GmbH & Co. OHG,hat die Muttergesellschaft,Acument GmbH & Co OHG
Heizkraftwerk Römerbrücke,hat die Muttergesellschaft,Electrabel Saarland GmbH
VSE Kraftwerk Ensdorf,hat die Muttergesellschaft,VSE AG
Altölbehandlung Schirra,hat die Muttergesellschaft,Schirra GmbH & Co. KG
